publishedAt,authorDisplayName,textDisplay,likeCount
2019-12-05T04:20:32Z,Nataliawati Bernaded,Itu klu siswa melakukan kecurangan bisa ketahuan ?,0
2019-05-11T09:18:39Z,Marlina- SMAN 68 Jkt,Pak...sudah terbuka tp pada soal gak bisa buat kuncinya... Apakah sofwarenya harus beli?,0
2019-05-28T03:45:59Z,MariBelajar,"Hi Edukasi Sejarah, untuk membuat kuis harus menggunakan New Quiz bukan New Form",0
2019-04-20T08:06:12Z,Mintai Kenzie Saputra,apakah ms 365 itu di install dulu nya pa,0
2019-04-22T04:07:56Z,MariBelajar,"dapat diakses langsung secara online ke <a href=""http://portal.office.com/"">portal.office.com</a>",0
2019-05-11T09:17:03Z,Marlina- SMAN 68 Jkt,Pak... Koq microsoft formnya sy gak muncul yah... Apakah harus beli dulu sofwarenya?,0
