publishedAt,authorDisplayName,textDisplay,likeCount
2023-03-12T10:16:03Z,Siska Eryani,mantap ilmunya... terima kasih,0
2022-11-23T14:02:31Z,Nissa Fadillah,Download apk sway nya gimana ka?,0
2023-01-10T06:53:03Z,MariBelajar,"Hi Kak Nissa, untuk Sway saat ini tidak tersedia .apknya, karena aplikasi ini berbasis web. terima kasih",0
2022-10-18T00:30:11Z,RBB Channel,"Jazakallah khairan ilmunya,,",0
2022-08-26T23:15:23Z,Sally Marfira,nama aplikasi ny apa,0
2022-09-07T07:57:08Z,MariBelajar,Sway kak,0
2022-01-11T02:14:08Z,YULIZAR,Makasih,0
2021-11-01T15:34:15Z,Amelia Zaenab,Kak... Boleh minta cp nya... Sekolah saya berniat untuk membuat majalah digital,0
2021-09-14T14:21:21Z,Reysha Reysha,Itu donwload apa ya?,0
