publishedAt,authorDisplayName,textDisplay,likeCount
2021-06-17T02:10:27Z,Ary Aryanto,suara kresek kresek nya mengganggu,0
2020-08-14T10:10:08Z,Tri Lestari,Cara menghapus penugasan yg sdh tertulis diclass notebook tp di teams,0
2020-03-21T12:28:42Z,Bang Son,"Bang mo nanya,ini murid sudah login  n masuk di beranda dan di suruh gurunya nyari clas notebook tpi kok ga ada ya,,mohon di jawab ya bang",0
2020-03-21T12:28:34Z,Bang Son,"Bang mo nanya,ini murid sudah login  n masuk di beranda dan di suruh gurunya nyari clas notebook tpi kok ga ada ya,,mohon di jawab ya bang",0
