publishedAt,authorDisplayName,textDisplay,likeCount
2021-10-18T11:07:59Z,indra putra,apakah windows edu nyaman di pakai juga untuk aktivitas kantoran?? perbedaan nya apa saja windows biasa dgn win edu ??,0
2021-01-17T01:40:58Z,Istichomah A,install printernya jg ribet !!,0
2020-11-20T13:43:04Z,Red Gaming ID,kok banyak game online yg gk support ya bang windows 10 education,1
2021-04-01T00:06:57Z,Attarik Abang,Buat belajar bro,0
2021-07-30T10:46:33Z,Kaiman (#Doroctober time!),"Yah gimana lagi? Kan itu udah jelas namanya, Education. Jadi, Windowsnya khusus untuk sekolah aja.",0
