id,userName,text,profileUrl,avatarUrl,date
2282421817,fitasukiyani,ngeri narsumnya ini ❤️🔥,https://www.instagram.com/fitasukiyani/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/97090428_238436474081111_3261718196033421312_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=r0OhJVjwBQIAX__UeK7&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBx3FerB48I26POUDrHqRXLG3VeGudw_6HKkN5OT2hyUg&oe=656CB05B&_nc_sid=0985b0,2023/11/01 11:22:38
10150546172,maribelajar_id,"@fitasukiyani mantaaap kan kak, jangan lupa hadirr 🥰🥰❤️🔥",https://www.instagram.com/maribelajar_id/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/270083435_744498369844229_2500784757967146633_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=t0EGcGRL2pMAX_YZKTL&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBsKflmKEYwIrv2CdFC0f_dY3jRSMz7naHBkKfNgU60yw&oe=656C40B4&_nc_sid=0985b0,2023/11/01 16:58:16
8644149732,whoopsy.jeffry07,@gemilang_tirto,https://www.instagram.com/whoopsy.jeffry07/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/271580301_1154452585297477_1105628480270149943_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Wh4-EROVRFAAX-tWUN-&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfC2n2zRNourN9DpOZSKYRD5uuEJCuBzCLmG03bPdTQ2eg&oe=656BC13F&_nc_sid=0985b0,2023/10/06 16:52:25
5800516145,gemilang_tirto,@whoopsy.jeffry07 ga main menkrep,https://www.instagram.com/gemilang_tirto/,https://instagram.fsoc1-1.fna.fbcdn.net/v/t51.2885-19/331563678_710307823915484_1852224376267259077_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=5N9e92dYThcAX9iUNu2&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBbGtLEtPbJ6pekcdpz4PjlU_UJ1L5dEUu0OMTgnE9nog&oe=656B63B7&_nc_sid=0985b0,2023/10/06 22:23:49
3434896416,bratenengah,Apa ada paket yang waktu kursusnya dipercepat??,https://www.instagram.com/bratenengah/,https://instagram.fsoc1-1.fna.fbcdn.net/v/t51.2885-19/13414187_508467572695939_1942927206_a.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=p-HRReirB-QAX81bzEB&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAnl3ypofP9FIysXOYKF71Ftpq4mgb0pwRRIOHcO7e2JA&oe=656D3FF7&_nc_sid=0985b0,2023/09/25 08:01:17
10150546172,maribelajar_id,@bratenengah hi kak waktu pelatihan 2 hari tiap batchnya 😉,https://www.instagram.com/maribelajar_id/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/270083435_744498369844229_2500784757967146633_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=t0EGcGRL2pMAX_YZKTL&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBsKflmKEYwIrv2CdFC0f_dY3jRSMz7naHBkKfNgU60yw&oe=656C40B4&_nc_sid=0985b0,2023/09/26 15:00:51
2977429023,az.khairyah,Apakah lembaga ini sudah terdaftar pemerintah?,https://www.instagram.com/az.khairyah/,https://instagram.fsoc1-1.fna.fbcdn.net/v/t51.2885-19/354777524_231330483055778_576175270689449377_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GD3vXA6iMAEAX-06dAQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfA97jHGvIrDe2vY8aHm7wHH4PBGOf0JG3rjZI2xw1PTug&oe=656BB534&_nc_sid=0985b0,2023/09/28 00:48:14
2977429023,az.khairyah,Sertifikatnya terdaftar di BNSP ngga? @maribelajar_id,https://www.instagram.com/az.khairyah/,https://instagram.fsoc1-1.fna.fbcdn.net/v/t51.2885-19/354777524_231330483055778_576175270689449377_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=GD3vXA6iMAEAX-06dAQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfA97jHGvIrDe2vY8aHm7wHH4PBGOf0JG3rjZI2xw1PTug&oe=656BB534&_nc_sid=0985b0,2023/09/28 01:07:49
10150546172,maribelajar_id,Halo kak @az.khairyah perusahaan kami sudah terdaftar sebagai lembaga Pelatihan Kerja Teknologi Informasi dan Komunikasi Swasta di Indonesia 🥰,https://www.instagram.com/maribelajar_id/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/270083435_744498369844229_2500784757967146633_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=t0EGcGRL2pMAX_YZKTL&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBsKflmKEYwIrv2CdFC0f_dY3jRSMz7naHBkKfNgU60yw&oe=656C40B4&_nc_sid=0985b0,2023/09/29 09:23:06
3735411546,samerdantasinulingga,"Apakah power bi dipakai untuk penelitian kualitatif. Wawancara. Menyusun makna dll, mengukur kepuasan tamu secara kualitatif?",https://www.instagram.com/samerdantasinulingga/,https://instagram.fsoc1-2.fna.fbcdn.net/v/t51.2885-19/327960936_1655309614910909_4242233157094159974_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsoc1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=TCco0b4mxD4AX_aaDGu&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfDGmaBOztcAq6iGhZBs9EruvO5yYNGAuffdS6wCm_bMiQ&oe=656D0BEF&_nc_sid=0985b0,2023/08/31 05:19:12
